-0.126087580515498 -0.008133655478089308-0.01895305857614296i -0.008560633550587948-0.0169982608571331i 0.001459201762923135-0.001638551006097777i
-0.008133655478089308+0.01895305857614296i -0.00299476110786806 0.1039966323774727+0.0305399212068764i 0.004570239775921192+0.02033953675999656i
-0.008560633550587948+0.0169982608571331i 0.1039966323774727-0.0305399212068764i -0.002663307251003944 0.01126152591774488+0.01562987974929964i
0.001459201762923135+0.001638551006097777i 0.004570239775921192-0.02033953675999656i 0.01126152591774488-0.01562987974929964i -0.1238464960382358
-0.126087541879708 -0.008133396396595771-0.01895300089253618i -0.008560391738643092-0.01699816498102949i 0.001459205157975485-0.0016384947866811i
-0.008133396396595771+0.01895300089253618i -0.002994729467482915 0.1039965946359358+0.03053992131724587i 0.004570002743867485+0.02033943952008055i
-0.008560391738643092+0.01699816498102949i 0.1039965946359358-0.03053992131724587i -0.002663268512889561 0.0112612818358574+0.01562982932002666i
0.001459205157975485+0.0016384947866811i 0.004570002743867485-0.02033943952008055i 0.0112612818358574-0.01562982932002666i -0.1238464661676416
-0.1260320096036641 -0.007891302060527544-0.01960635788438914i -0.008400565438524965-0.01755852362938726i 0.001460491886634274-0.001636869408440489i
-0.007891302060527544+0.01960635788438914i -0.002989387930581011 0.1039641528043687+0.0305455513508324i 0.004586140511619874+0.02029773315682334i
-0.008400565438524965+0.01755852362938726i 0.1039641528043687-0.0305455513508324i -0.002651130023797077 0.01130430227752624+0.01560219118465298i
0.001460491886634274+0.001636869408440489i 0.004586140511619874-0.02029773315682334i 0.01130430227752624-0.01560219118465298i -0.1238915776373327
-0.126032052360789 -0.007891240971659663-0.01960664788853719i -0.008400458307077946-0.01755880692870535i 0.001460557262121742-0.001636877269193982i
-0.007891240971659663+0.01960664788853719i -0.002989441442986185 0.1039641700154847+0.03054552257101781i 0.004586035647804077+0.0202979954334935i
-0.008400458307077946+0.01755880692870535i 0.1039641700154847-0.03054552257101781i -0.002651173436319987 0.011304241483269+0.01560247855573993i
0.001460557262121742+0.001636877269193982i 0.004586035647804077-0.0202979954334935i 0.011304241483269-0.01560247855573993i -0.1238915537374826
-0.859056669238903 -0.03189375356804336-0.07815865893906873i -0.03380139518205522-0.06964724352670276i 0.005836807813977274-0.006550415493229544i
-0.03189375356804336+0.07815865893906873i -0.008342407883491332 0.8924706631088686+0.1288258309773222i 0.018350658238415+0.08314197149417205i
-0.03380139518205522+0.06964724352670276i 0.8924706631088686-0.1288258309773222i -0.00677665633522756 0.04551542521380866+0.06328849377221937i
0.005836807813977274+0.006550415493229544i 0.018350658238415-0.08314197149417205i 0.04551542521380866-0.06328849377221937i -0.8745102716792591
0.2521194031063522 0.01602477901745189+0.03855949572117329i 0.01696100622048144+0.03455684114199681i -0.00291972333552859+0.00327539408007943i
0.01602477901745189-0.03855949572117329i 0.0059839128168514 -0.207960816349162-0.0610854736340862i -0.009156190434142258-0.0406373362821271i
0.01696100622048144-0.03455684114199681i -0.207960816349162+0.0610854736340862i 0.00531419011826495 -0.02256565173897354-0.03123217818542901i
-0.00291972333552859-0.00327539408007943i -0.009156190434142258+0.0406373362821271i -0.02256565173897354+0.03123217818542901i 0.2477378574938298
